Name,Type,TextBox,Subtype,Cost,Attack,Speed,Health,Legendary,Patron,VersionAdded,ArtType,ArtCredit,HasAnimation,AnimationCount,AnimationTypes,StarterDecks
Beast Trainer,Minion,"[Arrival, Range 1]: Deploy two Beasts from your deck that cost 2 or less.",Human,4,2,3,3,,Grenalia,0.4.23,AI_GENERATED,DALL-E,False,0,,
Big Game Hunter,Minion,"[Arrival, Range 3]: Destroy an enemy minion with 5 or more Power.",Dwarf,4,4,2,2,,Neutral,0.4.14,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Black Dragon,Minion,"Flying. Fatal. [Warmup 3, Range 2]: Destroy a Minion.",Dragon,5,7,4,5,,Shadis,0.4.15,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Black Scorpion,Minion,Fatal.  (Destroy any enemy minion this damages.),Arachnid,2,1,2,3,,Neutral,0.4.15,AI_GENERATED,DALL-E,False,0,,Starter Death
Blessed Force,Spell,Destroy all minions with mana cost 3 or less within Range 3.,None,5,,,,,Lucia,0.1.2,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Blinkshot,Minion,"[Cooldown 2, Range 2]: Deal 4 damage. [Cooldown 2, Range 2]: Teleport.",Arachnid,6,4,3,3,,Archaeon,0.4.25,AI_GENERATED,DALL-E,False,0,,Starter Mage
Bloodrush,Spell,Your characters gain 2 Movement. Your commander loses 2 life. Draw a card.,None,1,,,,,Skaal,0.2.1,AI_GENERATED,Midjourney,False,0,,
Blue Dragon,Minion,"Flying. Spellcaster. [Warmup 3, Range 2]: Deal 2 damage to all characters within 1 Radius and Stun any minions.",Dragon,4,4,4,5,,Archaeon,0.4.15,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Bramble,Minion,Commander-Deploy. Arrival: Add a copy of this to your hand with Ethereal.,Plant,2,3,0,3,,Grenalia,0.4.22,AI_GENERATED,DALL-E,False,0,,
Brash Outfitter,Minion,"Minions in your hand cost 1 less. When you play a Minion whose card costs 3 or more, deal 1 damage to it.",Goblin,2,3,2,1,,Skaal,0.3.4,AI_GENERATED,Midjourney,False,0,,
Burgeon,Spell,Claim an uncontested tile adjacent to your territory. Add a copy of this to your hand with Ethereal.,None,2,,,,,Grenalia,0.4.6,AI_GENERATED,Midjourney,False,0,,
Call of the Jungle,Spell,[Range 3]: An ally beast gains +2/+2/+2 and gains Trample.,None,3,,,,,Grenalia,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,Starter Beasts
Champion of the Wilds,Minion,"[Cooldown 1]: Claim the current tile, if it's adjacent to your territory. (Can claim enemy tiles)",Beast,5,3,2,7,,Neutral,0.1.4,AI_GENERATED,Midjourney,False,0,,
Chant of the Old Ones,Spell,"[Range 3]: Add 3 Poison to a character. Your commander heals 3. Draw 3 minions from your deck, they cost 3 less.",None,9,,,,,Grenalia,0.1.14,ARTIST_COMMISSIONED,Tomas Vinco,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Charge Up,Spell,Your commander permanently gains Spell Damage +2.,Lightning,6,,,,,Skaal,0.4.26,AI_GENERATED,DALL-E,False,0,,
Charger,Minion,[Warmup 1]: An adjacent ally gains +1 movement and regains their Attack.,Mech,2,2,2,3,,Neutral,0.1.27,AI_GENERATED,Midjourney,False,0,,
Citadel Lord,Minion,Arrival: Gain +2 Power and +2 Health for each ally minion within Range 4.,Giant,5,3,3,3,,Neutral,0.1.12,AI_GENERATED,Midjourney,False,0,,
City Planning,Spell,Draw 2 Village cards from your deck.,None,2,,,,,Lucia,0.6.2,AI_GENERATED,ChatGPT Images,False,0,,
Cloning Magic,Spell,[Range 2]: Shuffle three copies of target minion into your deck.,Psychic,1,,,,,Archaeon,0.4.28,AI_GENERATED,DALL-E,False,0,,
Combust,Spell,"An ally minion deals damage equal to its power to adjacent characters, then dies.",Fire,2,,,,,Skaal,0.4.26,AI_GENERATED,DALL-E,False,0,,
Cone of Cold,Spell,[Range 2]: Deal 2 damage to all characters in 1 Radius and stun any minions.,Frost,5,,,,,Archaeon,0.4.15,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,Starter Mage
Conscription,Spell,Add 3 Lucian Soldiers to your hand. They gain Ethereal.,None,3,,,,,Lucia,0.4.6,AI_GENERATED,Meta AI,False,0,,
Crippling Tax,Spell,Destroy a friendly village. Draw 3 cards. Gain 3 Dominion.,None,4,,,,,Lucia,0.4.4,AI_GENERATED,DALL-E,False,0,,
Daemonic Summoning,Spell,Draw a Daemon from your deck. It costs 3 less mana.,None,3,,,,,Shadis,0.4.28,AI_GENERATED,DALL-E,False,0,,
Daemonprince Grizlocke,Minion,"Legendary. Flying. Trample. [Cooldown 1, Range 1]: Claim ANY unoccupied tile, gain 1 Dominion, and summon a Daemon Knight.",Daemon,12,13,3,13,True,Shadis,0.4.38,AI_GENERATED,DALL-E,False,0,,
"Danrir, Omenhound",Minion,"Legendary. When Danrir attacks and kills an enemy minion, he gains +2 Power and +2 Health.",Beast,4,4,4,4,True,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,Starter Beasts
Darkroot Ooze,Minion,"When Darkroot Ooze battles, double the enemy's poison.",None,2,1,3,3,,Grenalia,0.1.14,AI_GENERATED,Midjourney,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Darkroot Witch,Minion,Spellcaster. Arrival: Add a Poison Sting to your hand.,Elf,2,1,2,2,,Grenalia,0.1.14,AI_GENERATED,Midjourney,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Darkwing,Minion,Flying. Commander-Deploy. Arrival: Deal 2 damage to all non-daemon characters.,Daemon,7,7,3,4,,Shadis,0.4.27,AI_GENERATED,DALL-E,False,0,,
Deathquill,Minion,"[Cooldown 1, Range 2]: Deal 1 damage and add 1 Poison to an enemy.",Beast,4,3,1,5,,Neutral,0.1.14,AI_GENERATED,Midjourney,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Demilich,Minion,Spellcaster. Arrival AND Postmortem: Draw a card.,Undead,6,5,2,4,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,Starter Mage
Devout Caretaker,Minion,Arrival: add 2 Lucian Soldiers to hand.,Human,4,1,3,5,,Lucia,0.1.21,AI_GENERATED,Midjourney,False,0,,
Diplomatic Envoy,Minion,Spellcaster. Arrival: Gain 2 Intellect.,Elf,2,2,3,3,,Neutral,0.6.11,AI_GENERATED,ChatGPT Images,False,0,,
Domination,Spell,Gain control of an enemy minion.,Psychic,9,,,,,Shadis,0.4.21,AI_GENERATED,DALL-E,False,0,,
Draconic Mage,Minion,Flying. Spellcaster. Spell-Damage +2. Arrival: Draw a spell from your deck and add two extra copies of it to your hand.,Dragon,10,10,4,8,,Neutral,0.6.11,AI_GENERATED,ChatGPT Images,False,0,,
Dragon Egg,Minion,Postmortem: Summon a 4/4/4 Dragon with Flying.,Dragon,2,0,0,2,,Neutral,0.4.16,AI_GENERATED,DALL-E,False,0,,
Dragon Tamer,Minion,Realmbound. Dragons in your hand cost 2 less.,Human,2,2,3,2,,Neutral,0.4.8,AI_GENERATED,Meta AI,False,0,,
Dragonkin Evoker,Minion,"Realmbound. Spell-Damage +1. When ANY spell is played, deal 1 damage to the enemy commander.",Dragon,1,1,2,3,,Neutral,0.3.4,AI_GENERATED,Midjourney,False,0,,
Dragon's Breath,Spell,[Range 4]: Deal 5 damage to target minion. Play this only if you control a Dragon or have a Dragon card in your hand.,Fire,2,,,,,Skaal,0.6.11,AI_GENERATED,ChatGPT Images,False,0,,
Drain Energy,Spell,An enemy minion gets -3 Power and -3 Health until end of turn. Your commander heals 3 life.,None,2,,,,,Shadis,0.4.15,AI_GENERATED,DALL-E,False,0,,Starter Death
Drakemire Shaman,Minion,"Spellcaster. Arrival: Draw a Dragon. Whenever an ally Dragon in Range 2 attacks, add a Poison Sting to your hand.",Elf,4,3,2,4,,Grenalia,0.4.38,ARTIST_COMMISSIONED,Tomas Vinco,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Dread Knight,Minion,Commander-Deploy. Enemy minions within Range 2 have -1 Power.,Human,6,7,3,6,,Neutral,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,"Starter Death, Starter Deploy"
Dread Proclamation,Spell,"Until the end of the turn, all enemies get -1/-0/-1. When an enemy dies this turn, gain 1 Dominion.",Psychic,3,,,,,Shadis,0.4.24,AI_GENERATED,DALL-E,False,0,,
Dreadlord Cyrion,Minion,Legendary. Commander-Deploy. Enemy minions within Range 2 have -1/-1/-1.,Human,7,8,3,6,True,Neutral,0.1.21,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Drowsy Lizard,Minion,"[Arrival, Range 4]: Silence a minion.",Beast,2,2,1,3,,Neutral,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Durka Wurm,Minion,Postmortem: Summon a 1/2/1 Spawn token in every unoccupied tile within Range 1.,Beast,8,7,4,7,,Neutral,0.4.8,AI_GENERATED,Midjourney,False,0,,
Dwarven Battlepriest,Minion,"Spellcaster. [Arrival, Range 4]: An ally minion gains +3 Health.",Dwarf,2,2,2,3,,Lucia,0.4.2,AI_GENERATED,DALL-E,False,0,,Starter Military
Dwarven Stout,Spell,"[Range 2]: Give a Dwarf minion +4/+0/+4 and ""At the end of your turns, deal 1 damage to all adjacent characters.""",Potion,4,,,,,Lucia,0.4.26,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
"Dyana, Prime Huntress",Minion,Legendary. You can't play Dyana unless you control 3 Beasts. [Range 5 Attack]: Deal 7 damage to an enemy.,Demigod,5,5,2,7,True,Grenalia,0.2.4,ARTIST_COMMISSIONED,Jack Nguyen,True,5,ParticleDisplayFXAnimation;ParticleTwoPointMotionFXAnimation;SingleSoundFXAnimation,
Eagle King,Minion,"Flying. When your characters attack, your Commander heals 1. [Arrival]: Summon a Giant Eagle.",Beast,6,3,4,4,,Neutral,0.2.5,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,Starter Beasts
Elf Ranger,Minion,[Range 2 Attack]: Deal 2 damage to an enemy.,Elf,2,1,2,3,,Neutral,0.1.1,PURCHASED_ASSET,Nightfall Interactive,False,0,,"Starter Beasts, Starter Military"
Elite Mercenary,Minion,Commander-Deploy. Lifelink. Shield. Costs 3 less if your opponent controls 4 or more minions.,Human,7,4,3,5,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,
Elixirist,Minion,Arrival: add a Growth Potion to your hand.,Elf,3,4,3,2,,Neutral,0.4.45,AI_GENERATED,Nano Banana Pro,False,0,,"Starter Beasts, Starter Mage"
Elven Spellblade,Minion,Arrival: Deal 3 damage to the enemy commander.,Elf,5,5,4,5,,Neutral,0.5.2,AI_GENERATED,Nano Banana Pro,False,0,,Starter Deploy
Ember,Minion,"When you play a Fire card, gain 2 Mana, gain +2 Power, and deal 1 damage to Ember.",Fire,1,0,3,3,,Skaal,0.4.38,AI_GENERATED,DALL-E,False,0,,
Emerald Asp,Minion,"When Emerald Asp attacks, apply Poison to the enemy equal to Emerald Asp's power.",Beast,2,2,3,1,,Grenalia,0.4.23,AI_GENERATED,DALL-E,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Energy Potion,Spell,"[Range 2]: A minion gains Haste, regains their movement, and regains an Attack.",Potion,2,,,,,Neutral,0.1.4,ARTIST_COMMISSIONED,Tomas Vinco,True,1,SingleSoundFXAnimation,
Enigmatic Golem,Minion,Costs X less mana to play where X is your commander's missing Health.,Mech,20,9,3,9,,Neutral,0.4.24,AI_GENERATED,DALL-E,False,0,,
Ereloth,Minion,Lifelink. Arrival: give all minion cards in your opponent’s hand -1 Power and -1 Health.,Daemon,4,3,4,2,,Shadis,0.6.6,AI_GENERATED,ChatGPT Images,False,0,,
Eternal Wall,Minion,Commander-Deploy. Arrival: Add a copy of this to your hand with Ethereal.,None,2,0,0,6,,Lucia,0.4.6,AI_GENERATED,Midjourney,False,0,,
Expand the Wilds,Spell,Claim an uncontested tile adjacent to your territory.,None,1,,,,,Grenalia,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,
Explosive Potion,Spell,[Range 2]: Deal 2 damage to all characters in 1 Radius.,Potion,4,,,,,Neutral,0.1.7,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,Starter Deploy
Expropriation,Spell,[Range 2] Return ANY minion to YOUR hand.,Psychic,7,,,,,Archaeon,0.4.38,AI_GENERATED,DALL-E,False,0,,
Fade to Mists,Spell,[Range 2]: Return a minion you control to your hand. It costs 3 less.,Psychic,1,,,,,Archaeon,0.5.5,AI_GENERATED,ChatGPT Images,False,0,,
Feeblemind,Spell,[Range 2]: Stun an enemy commander. Their Intellect becomes 1.,Psychic,9,,,,,Archaeon,0.4.31,AI_GENERATED,DALL-E,False,0,,
Feral Vampire,Minion,"Lifelink.  (When battling, your commander heals equal to this character's power.)",Vampire,3,4,3,3,,Neutral,0.4.20,AI_GENERATED,DALL-E,False,0,,Starter Death
Finishing Strike,Spell,[Range 4]: Destroy a damaged minion.,None,2,,,,,Skaal,0.5.2,AI_GENERATED,ChatGPT Images,False,0,,
Fireball,Spell,[Range 4]: Deal 3 damage to all characters in 1 Radius.,Fire,5,,,,,Skaal,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,3,CameraShakeFXAnimation;ParticleDisplayFXAnimation;SingleSoundFXAnimation,
Firebolt,Spell,"[Range 4]: Deal 3 Damage to a character. If this kills them, gain 1 Dominion.",Fire,3,,,,,Skaal,0.1.7,ARTIST_COMMISSIONED,Marc Petrelis,True,4,ParticleDisplayFXAnimation;ParticleTwoPointMotionFXAnimation;SingleSoundFXAnimation,
First Experiment,Minion,"Spellcaster. Whenever you play a Potion on an ally Experiment, gain +2 Power.",Experiment,1,1,3,3,,Neutral,0.1.7,AI_GENERATED,Midjourney,False,0,,
Flame Acolyte,Minion,Spellcaster. Arrival: add 2 copies of Flamelash to your hand.,Human,5,6,3,1,,Skaal,0.1.21,AI_GENERATED,Stable Diffusion,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,
Flamelash,Spell,[Range 2]: Deal 3 damage to a character.,Fire,1,,,,,Skaal,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,
Found City,Spell,Convert a tile you own to a village. Add a copy of Settle Village to your hand.,Village,5,,,,,Neutral,0.6.9,AI_GENERATED,ChatGPT Images,False,0,,
Fourth Experiment,Minion,"Whenever you play a Potion on an ally Experiment, gain +2/+1/+2.",Experiment,4,3,3,3,,Neutral,0.1.12,AI_GENERATED,Midjourney,False,0,,
Frostblade,Spell,"[Range 1]: Deal 2 damage. If targeting a minion, stun it.",Frost,1,,,,,Archaeon,0.4.38,ARTIST_COMMISSIONED,Marc Petrelis,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,Starter Mage
Fungal Explosion,Spell,[Range 3]: Add 4 Poison to all characters in 1 Radius.,None,7,,,,,Grenalia,0.1.14,AI_GENERATED,Midjourney,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Ghast,Minion,[Range 2]: Target minion gains -1/-0/-1. Ghast also gains -1/-0/-1.,Undead,3,3,2,3,,Shadis,0.4.26,AI_GENERATED,DALL-E,False,0,,
Giant Eagle,Minion,Flying.  (Can occupy non-traversable tiles.),Beast,4,3,4,4,,Neutral,0.2.5,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,Starter Mage
Giant River Snapper,Minion,Arrival: Your commander heals 8 health.,Beast,8,8,2,10,,Grenalia,0.1.2,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Gilded Defender,Minion,Realmbound.  (May only occupy tiles you own.),Mech,2,5,3,5,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,
Goblin Duo,Minion,Goblin-Deploy. Arrival: add a goblin scamp to hand.,Goblin,2,1,2,1,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,
Goblin Firebow,Minion,Goblin-Deploy. [Range 2 Attack]: Deal 2 damage. Deal 1 damage to Goblin Firebow,Goblin,1,1,2,2,,Neutral,0.1.2,AI_GENERATED,Nano Banana Pro,False,0,,
Goblin Infantry,Minion,Gain +1 Power whenever you play a Goblin card.,Goblin,1,1,2,3,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,
Goblin Infiltrator,Minion,Trample. Deploy.,Goblin,5,5,2,5,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,"Starter Death, Starter Deploy"
Goblin King,Minion,Allied Goblin minions within Range 3 have +2 Power.,Goblin,3,3,2,3,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,
Goblin Lorespeaker,Minion,"Spellcaster. Spell-Damage +1. Whenever a Goblin you control within Range 3 dies, add a Thunderjolt to your hand.",Goblin,4,3,2,4,,Skaal,0.1.2,AI_GENERATED,Midjourney,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,
Goblin Musclejuice,Spell,[Range 2]: Give a Goblin minion +3/+2/+3.,Potion,3,,,,,Skaal,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Goblin Paratrooper,Minion,Deploy.  (Can be played outside of your territory.),Goblin,2,2,2,3,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,Starter Deploy
Goblin Recruitment,Spell,Add 3 Goblin Scamps to your hand.,None,3,,,,,Skaal,0.1.1,AI_GENERATED,Midjourney,False,0,,
Goblin Scamp,Minion,"Goblin-Deploy.  (Can be played outside of your territory, if next to an ally goblin.)",Goblin,0,1,2,1,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,
Goblin Scout,Minion,"Goblin-Deploy. Arrival: If you control 2 other Goblins, draw a Goblin from your deck.",Goblin,2,2,2,2,,Neutral,0.1.2,AI_GENERATED,Midjourney,False,0,,
Goblin Shaman,Minion,"Spellcaster. [Arrival, Range 4]: Deal 1 Damage.",Goblin,1,2,2,1,,Neutral,0.2.1,AI_GENERATED,Midjourney,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,Starter Deploy
Goblin Skirmisher,Minion,"Haste.  (When played, can move and Attack immediately.)",Goblin,3,3,2,3,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,True,1,SingleSoundFXAnimation,
Gold Dragon,Minion,Flying. Lifelink. [Warmup 3]: Fully heal all allies.,Dragon,8,7,4,10,,Lucia,0.4.7,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Grand Illusion,Spell,[Range 2]: Swap an ally minion with a non-Titan minion from your deck.,Psychic,6,,,,,Archaeon,0.4.19,AI_GENERATED,DALL-E,False,0,,
Gravehand,Minion,"Whenever another minion you control within Range 2 dies, draw a card.",Human,4,1,3,3,,Neutral,0.1.2,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Greater Healing Potion,Spell,[Range 2]: Heal a character for 8.,Potion,3,,,,,Neutral,0.2.5,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Green Dragon,Minion,"Flying. Trample. [Warmup 3, Range 2]: Add 3 poison to all characters within 1 Radius.",Dragon,7,6,4,8,,Grenalia,0.1.25,ARTIST_COMMISSIONED,Marc Petrelis,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Grey Wastes Shade,Minion,Lifelink. Postmortem: the enemy commander heals 6.,Undead,1,2,2,3,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,
Growth,Spell,Add 1 Mana.,None,0,,,,,Grenalia,0.1.14,AI_GENERATED,Midjourney,False,0,,
Growth Potion,Spell,[Range 2]: Give a minion +1/+1/+1.,Potion,1,,,,,Neutral,0.2.5,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Grutali,Minion,Legendary. Trample. Arrival: Gain 5 Dominion.,Dragon,9,4,3,13,True,Neutral,0.1.21,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
"Gruth, Ogre Champion",Minion,Legendary. Haste. Deploy.,Ogre,7,7,4,7,True,Skaal,0.1.1,AI_GENERATED,Stable Diffusion,True,1,SingleSoundFXAnimation,
Guardian Ent,Minion,Regenerate 3. Trample. Costs 3 less for each Plant you control.,Plant,11,7,2,8,,Grenalia,0.6.2,AI_GENERATED,Nano Banana Pro,False,0,,
Guerilla Gorilla,Minion,"When Guerilla Gorilla attacks and kills an enemy, heal 3 and gain +3 movement this turn.",Beast,5,6,3,5,,Neutral,0.1.7,AI_GENERATED,Midjourney,False,0,,
Guide to Heavens,Spell,[Range 4]: Destroy a minion. Its commander gains life equal to its Health.,None,4,,,,,Lucia,0.1.4,AI_GENERATED,Midjourney,False,0,,
Guiding Light,Spell,[Range 4]: Heal a character for 3.,None,0,,,,,Lucia,0.1.1,AI_GENERATED,Midjourney,False,0,,
Heaven's Legion,Spell,Summon a Lucian Soldier on each tile you own.,None,7,,,,,Lucia,0.1.21,AI_GENERATED,Midjourney,False,0,,
Heavy Cavalry,Minion,"Commander-Deploy.  (Can be played outside of your territory, if next to your commander.)",Human,6,5,4,8,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,"Starter Deploy, Starter Military"
High Elf Mage,Minion,Spellcaster.  (Spells with Range can be played within Range of High Elf Mage instead of your commander.),Elf,1,2,3,1,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,
Holy Fervor,Spell,Ally Human minions within Range 3 gain +1/+1/+1.,None,2,,,,,Lucia,0.2.1,AI_GENERATED,Midjourney,False,0,,
Homesong Minstrel,Minion,[Arrival]: Return a friendly minion to your hand.,Elf,2,3,2,2,,Neutral,0.4.6,AI_GENERATED,Midjourney,False,0,,
Hoplite Vanguard,Minion,Shield.  (Prevent the first time this would be damaged from another source.),Human,4,6,3,1,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,"Starter Beasts, Starter Deploy"
Horde Leader,Minion,Ally Undead within Range 3 have +1 Power and Postmortem: the enemy commander gains 2 Poison.,Undead,3,4,2,2,,Shadis,0.4.21,AI_GENERATED,DALL-E,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Hover Tank,Minion,"Flying. Shield. [Warmup 2, Range 4]: Deal 6 damage to an enemy.",Mech,5,4,2,5,,Mechanus,0.4.44,AI_GENERATED,DALL-E,False,0,,
Illusory Legion,Spell,[Range 2]: Summon a 3/2/3 Illusion with Frail. Add a copy of this to your hand with Ethereal.,Psychic,2,,,,,Archaeon,0.4.25,AI_GENERATED,DALL-E,False,0,,
Imp,Minion,Flying. Commander-Deploy. Arrival: Your commander takes 3 damage.,Daemon,1,3,2,2,,Shadis,0.4.20,AI_GENERATED,DALL-E,False,0,,
Infected Dreg,Minion,Postmortem: the enemy commander gains 2 Poison.,Undead,1,2,2,1,,Neutral,0.2.10,AI_GENERATED,Midjourney,True,3,LoopingParticle;ParticleDisplayFXAnimation,Starter Beasts
"Khazgar, Flame Emperor",Minion,Legendary. Tiles within Range 1 become Lava. Heals from Fire damage.  Costs 1 less per Fire card you play.,Titan,13,12,3,12,True,Neutral,0.4.8,ARTIST_COMMISSIONED,Marc Petrelis,True,1,LoopingParticle,
Killing Hex,Spell,Destroy a minion.,None,4,,,,,Shadis,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,1,ParticleDisplayFXAnimation,Starter Death
Kindle,Spell,Gain 2 Mana at the start of your next turn.,Fire,1,,,,,Skaal,0.5.5,AI_GENERATED,Nano Banana Pro,False,0,,
King Darian,Minion,Legendary. Arrival: Activate the Arrival abilities of all ally minions.,Human,9,7,3,6,True,Neutral,0.4.19,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Knife Sharpener,Minion,"When you play a Minion within Range 2, give it +1 Power.",Dwarf,1,2,2,1,,Neutral,0.1.27,AI_GENERATED,Stable Diffusion,False,0,,
Lay Claim,Spell,[Range 0]: Claim a territory an opponent controls. Increase your Dominion by 1.,None,2,,,,,Skaal,0.3.2,AI_GENERATED,Midjourney,False,0,,
Lifeweaver,Minion,"Spellcaster. When ANY spell is played, your commander heals 2 life.",Elf,1,1,2,3,,Neutral,0.2.5,AI_GENERATED,Midjourney,False,0,,
Light Elemental,Minion,Has additional Power equal to Light Elemental's Health.,None,2,0,3,3,,Lucia,0.6.5,AI_GENERATED,ChatGPT Images,False,0,,
Lightbound Martyr,Minion,Postmortem: give the leftmost Minion in your hand +2/+1/+2.,Human,3,3,3,2,,Lucia,0.6.15,AI_GENERATED,ChatGPT Images,False,0,,
